keyword,intent,language
hi,greeting,en
hello,greeting,en
hey,greeting,en
good morning,greeting,en
good evening,greeting,en
good afternoon,greeting,en
namaste,greeting,en
greetings,greeting,en
yo,greeting,en
hiya,greeting,en
नमस्ते,greeting,ne
नमस्कार,greeting,ne
हेल्लो,greeting,ne
शुभ प्रभात,greeting,ne
शुभ साँझ,greeting,ne
सुप्रभात,greeting,ne
के छ हाल,greeting,ne
आदाब,greeting,ne
हजुर नमस्ते,greeting,ne
नमस्ते जी,greeting,ne
thank you,goodbye_thanks,en
thanks,goodbye_thanks,en
thanks a lot,goodbye_thanks,en
bye,goodbye_thanks,en
goodbye,goodbye_thanks,en
appreciate it,goodbye_thanks,en
thnx,goodbye_thanks,en
much appreciated,goodbye_thanks,en
ok bye,goodbye_thanks,en
take care,goodbye_thanks,en
धन्यवाद,goodbye_thanks,ne
धेरै धन्यवाद,goodbye_thanks,ne
बाई,goodbye_thanks,ne
फेरि भेटौंला,goodbye_thanks,ne
ठिक छ धन्यवाद,goodbye_thanks,ne
सहयोगको लागि धन्यवाद,goodbye_thanks,ne
धन्यबाद है,goodbye_thanks,ne
दाई धन्यवाद,goodbye_thanks,ne
बहिनी धन्यवाद,goodbye_thanks,ne
ओके धन्यवाद,goodbye_thanks,ne
help,sos_help_request,en
help me,sos_help_request,en
sos,sos_help_request,en
emergency,sos_help_request,en
urgent help,sos_help_request,en
need help,sos_help_request,en
please help,sos_help_request,en
send help,sos_help_request,en
help now,sos_help_request,en
help asap,sos_help_request,en
rescue me,sos_help_request,en
somebody help,sos_help_request,en
help required,sos_help_request,en
सहयोग,sos_help_request,ne
मद्दत,sos_help_request,ne
सहयोग गर्नुहोस्,sos_help_request,ne
मद्दत चाहियो,sos_help_request,ne
बचाउनुहोस्,sos_help_request,ne
एस ओ एस,sos_help_request,ne
छिटो मद्दत चाहियो,sos_help_request,ne
मलाई बचाउनुहोस्,sos_help_request,ne
हामीलाई मद्दत चाहियो,sos_help_request,ne
मद्दत पठाउनुहोस्,sos_help_request,ne
earthquake,earthquake_occurring_report,en
tremor,earthquake_occurring_report,en
shaking,earthquake_occurring_report,en
quake,earthquake_occurring_report,en
ground shaking,earthquake_occurring_report,en
earthquake now,earthquake_occurring_report,en
strong tremor,earthquake_occurring_report,en
quake alert,earthquake_occurring_report,en
seismic shaking,earthquake_occurring_report,en
earthquake happening,earthquake_occurring_report,en
भूकम्प,earthquake_occurring_report,ne
भूकम्प गयो,earthquake_occurring_report,ne
भूकम्प आयो,earthquake_occurring_report,ne
भूइँ हल्लियो,earthquake_occurring_report,ne
घर हल्लियो,earthquake_occurring_report,ne
जोडदार धक्का,earthquake_occurring_report,ne
भूकम्पको धक्का,earthquake_occurring_report,ne
जोडदार भूकम्प,earthquake_occurring_report,ne
अहिले भूकम्प,earthquake_occurring_report,ne
धक्का,earthquake_occurring_report,ne
trapped,trapped_debris_report,en
stuck,trapped_debris_report,en
buried,trapped_debris_report,en
rubble,trapped_debris_report,en
debris,trapped_debris_report,en
trapped under debris,trapped_debris_report,en
pinned,trapped_debris_report,en
collapsed wall,trapped_debris_report,en
cannot move,trapped_debris_report,en
stuck inside,trapped_debris_report,en
थुनिएको,trapped_debris_report,ne
पुरिएको,trapped_debris_report,ne
भग्नावशेष,trapped_debris_report,ne
पर्खालमुनि थुनिएँ,trapped_debris_report,ne
फसेको,trapped_debris_report,ne
हल्लन सक्दिन,trapped_debris_report,ne
उद्धार चाहियो,trapped_debris_report,ne
थिचेको छ,trapped_debris_report,ne
छत खसेर,trapped_debris_report,ne
फसियौं,trapped_debris_report,ne
ambulance,medical_emergency_request,en
medical emergency,medical_emergency_request,en
unconscious,medical_emergency_request,en
not breathing,medical_emergency_request,en
chest pain,medical_emergency_request,en
heart attack,medical_emergency_request,en
critical patient,medical_emergency_request,en
need doctor,medical_emergency_request,en
severe bleeding,medical_emergency_request,en
collapsed,medical_emergency_request,en
एम्बुलेन्स,medical_emergency_request,ne
मेडिकल इमर्जेन्सी,medical_emergency_request,ne
बेहोस,medical_emergency_request,ne
सास फेर्न सकिरहेको छैन,medical_emergency_request,ne
छातीमा दुखाइ,medical_emergency_request,ne
डाक्टर चाहियो,medical_emergency_request,ne
रगत बगिरहेको,medical_emergency_request,ne
गम्भीर बिरामी,medical_emergency_request,ne
injured,injury_report,en
injury,injury_report,en
bleeding,injury_report,en
broken arm,injury_report,en
head injury,injury_report,en
cut,injury_report,en
wound,injury_report,en
sprained ankle,injury_report,en
burned hand,injury_report,en
hurt,injury_report,en
चोट लागेको,injury_report,ne
घाउ,injury_report,ne
रगत बगिरहेको,injury_report,ne
हात भाँचिएको,injury_report,ne
टाउकोमा चोट,injury_report,ne
गोडा मर्केको,injury_report,ne
पोलेको,injury_report,ne
गम्भीर चोट,injury_report,ne
fire,fire_incident_report,en
fire broke out,fire_incident_report,en
building on fire,fire_incident_report,en
smoke,fire_incident_report,en
burning,fire_incident_report,en
electrical fire,fire_incident_report,en
kitchen fire,fire_incident_report,en
fire brigade,fire_incident_report,en
flames,fire_incident_report,en
आगलागी,fire_incident_report,ne
आगो लागेको,fire_incident_report,ne
आगो,fire_incident_report,ne
धुवाँ,fire_incident_report,ne
बलिरहेको,fire_incident_report,ne
दमकल चाहियो,fire_incident_report,ne
भान्सामा आगो,fire_incident_report,ne
आगो फैलिँदैछ,fire_incident_report,ne
gas leak,gas_leak_report,en
gas smell,gas_leak_report,en
cylinder leaking,gas_leak_report,en
gas pipe broke,gas_leak_report,en
smell of gas,gas_leak_report,en
leaking gas,gas_leak_report,en
gas cylinder,gas_leak_report,en
ग्यास चुहावट,gas_leak_report,ne
ग्यासको गन्ध,gas_leak_report,ne
सिलिन्डर चुहावट,gas_leak_report,ne
ग्यास चुहियो,gas_leak_report,ne
ग्यासको पाइप,gas_leak_report,ne
ग्यास चुहिँदैछ,gas_leak_report,ne
building collapsed,building_collapse_report,en
house collapsed,building_collapse_report,en
roof caved in,building_collapse_report,en
wall collapsed,building_collapse_report,en
structure collapsed,building_collapse_report,en
apartment collapsed,building_collapse_report,en
घर भत्कियो,building_collapse_report,ne
भवन ढल्यो,building_collapse_report,ne
छत खस्यो,building_collapse_report,ne
पर्खाल भत्कियो,building_collapse_report,ne
संरचना भत्कियो,building_collapse_report,ne
cracks in wall,building_damage_check,en
is it safe to re-enter,building_damage_check,en
structural damage,building_damage_check,en
building tilted,building_damage_check,en
safety inspection,building_damage_check,en
cracks appeared,building_damage_check,en
चिरा परेको,building_damage_check,ne
