id,title,text_content,rag_input_text,metadata_payload,word_count
NDRRMA_2082_EQ_001,भूकम्प - विपद् वर्गीकरण,भौगोलिक: यी विपद् पृथ्वीको भौगोलिक प्रक्रियाहरूसँग सम्बन्धित हुन्छन्। भूकम्प यस वर्गको मुख्य विपद् हो। भूकम्पका अतिरिक्त कमजोर भौगोलिक बनावट र उच्च भिरालो भूभाग भएका पहाडी र हिमाली क्षेत्रमा पहिरो अर्को प्रमुख भौगोलिक विपद् हो।,"शीर्षक (Title): भूकम्प - विपद् वर्गीकरण
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 1)
विषयवस्तु (Content): भौगोलिक: यी विपद् पृथ्वीको भौगोलिक प्रक्रियाहरूसँग सम्बन्धित हुन्छन्। भूकम्प यस वर्गको मुख्य विपद् हो। भूकम्पका अतिरिक्त कमजोर भौगोलिक बनावट र उच्च भिरालो भूभाग भएका पहाडी र हिमाली क्षेत्रमा पहिरो अर्को प्रमुख भौगोलिक विपद् हो।","{'chunk_id': 'NDRRMA_2082_EQ_001', 'title': 'भूकम्प - विपद् वर्गीकरण', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 1, 'language': 'ne', 'word_count': 34, 'disaster_type': 'earthquake'}",34
NDRRMA_2082_EQ_002,नेपालमा विपद् व्यवस्थापनको इतिहास - १९९० सालको भूकम्प,"नेपालमा विपद् व्यवस्थापनको काम योजनाबद्ध रूपमा पहिलोपटक वि.सं. १९९० सालको भूकम्पपछि भएको देखिन्छ। भूकम्प प्रभावितको सहयोगका लागि पैसा जम्मा गर्न सरकारका तर्फबाट 'भूकम्प पीडितोद्धारक फण्ड' खोलिएको थियो। वि.सं. २०३९ मा प्रमाणीकरण भएको दैवी प्रकोप (उद्धार) ऐन, २०३९ ले विपद् व्यवस्थापन गर्न कानुनी व्यवस्था गर्‍यो।","शीर्षक (Title): नेपालमा विपद् व्यवस्थापनको इतिहास - १९९० सालको भूकम्प
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 7)
विषयवस्तु (Content): नेपालमा विपद् व्यवस्थापनको काम योजनाबद्ध रूपमा पहिलोपटक वि.सं. १९९० सालको भूकम्पपछि भएको देखिन्छ। भूकम्प प्रभावितको सहयोगका लागि पैसा जम्मा गर्न सरकारका तर्फबाट 'भूकम्प पीडितोद्धारक फण्ड' खोलिएको थियो। वि.सं. २०३९ मा प्रमाणीकरण भएको दैवी प्रकोप (उद्धार) ऐन, २०३९ ले विपद् व्यवस्थापन गर्न कानुनी व्यवस्था गर्‍यो।","{'chunk_id': 'NDRRMA_2082_EQ_002', 'title': 'नेपालमा विपद् व्यवस्थापनको इतिहास - १९९० सालको भूकम्प', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 7, 'language': 'ne', 'word_count': 44, 'disaster_type': 'earthquake'}",44
NDRRMA_2082_EQ_003,२०४५ सालको उदयपुर भूकम्प,"वि.सं. २०४५ भदौ ५ गते उदयपुरलाई केन्द्रबिन्दु बनाएर गएको ६.६ म्याग्निच्युडको भूकम्पबाट क्षतिग्रस्त निजी आवासको पुनर्निर्माणमा राज्यले सहुलियतपूर्ण ऋण लगायतको व्यवस्था गरेको थियो। प्रभावित घर परिवारलाई ग्रामीण क्षेत्र, जिल्ला सदरमुकाम र शहरी क्षेत्रमा वर्गीकरण गरी क्रमशः १० हजार, २० हजार र ५० हजार ऋण सहयोग उपलब्ध गराइएको थियो।","शीर्षक (Title): २०४५ सालको उदयपुर भूकम्प
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 8)
विषयवस्तु (Content): वि.सं. २०४५ भदौ ५ गते उदयपुरलाई केन्द्रबिन्दु बनाएर गएको ६.६ म्याग्निच्युडको भूकम्पबाट क्षतिग्रस्त निजी आवासको पुनर्निर्माणमा राज्यले सहुलियतपूर्ण ऋण लगायतको व्यवस्था गरेको थियो। प्रभावित घर परिवारलाई ग्रामीण क्षेत्र, जिल्ला सदरमुकाम र शहरी क्षेत्रमा वर्गीकरण गरी क्रमशः १० हजार, २० हजार र ५० हजार ऋण सहयोग उपलब्ध गराइएको थियो।","{'chunk_id': 'NDRRMA_2082_EQ_003', 'title': '२०४५ सालको उदयपुर भूकम्प', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 8, 'language': 'ne', 'word_count': 48, 'disaster_type': 'earthquake'}",48
NDRRMA_2082_EQ_004,२०७२ गोरखा भूकम्प र नीतिगत प्रभाव,"सेण्डाई फ्रेमवर्क पारित भएको एक महिना नबित्दै २०७२ वैशाखमा नेपालले विनाशकारी भूकम्पको सामना गर्नुपर्‍यो। यो भूकम्पले नेपालको राजनीतिक वृत्तमा विपद् व्यवस्थापनका लागि नीतिगत र संस्थागत व्यवस्था हुनुपर्छ भन्ने महसुस गराउन भूमिका खेल्यो। फलस्वरूप, २०७२ असोज २ गते जारी नेपालको संविधानमा यस सम्बन्धमा व्यवस्था गरियो।","शीर्षक (Title): २०७२ गोरखा भूकम्प र नीतिगत प्रभाव
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 8)
विषयवस्तु (Content): सेण्डाई फ्रेमवर्क पारित भएको एक महिना नबित्दै २०७२ वैशाखमा नेपालले विनाशकारी भूकम्पको सामना गर्नुपर्‍यो। यो भूकम्पले नेपालको राजनीतिक वृत्तमा विपद् व्यवस्थापनका लागि नीतिगत र संस्थागत व्यवस्था हुनुपर्छ भन्ने महसुस गराउन भूमिका खेल्यो। फलस्वरूप, २०७२ असोज २ गते जारी नेपालको संविधानमा यस सम्बन्धमा व्यवस्था गरियो।","{'chunk_id': 'NDRRMA_2082_EQ_004', 'title': '२०७२ गोरखा भूकम्प र नीतिगत प्रभाव', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 8, 'language': 'ne', 'word_count': 44, 'disaster_type': 'earthquake'}",44
NDRRMA_2082_EQ_005,गोरखा भूकम्पपछिको पुनर्निर्माण संस्थागत व्यवस्था,वि.सं. २०७२ वैशाख १२ गते गएको गोरखा भूकम्पबाट क्षतिग्रस्त संरचनाको पुनर्निर्माणका लागि २०७२ पुसमा नयाँ ऐनमार्फत राष्ट्रिय पुनर्निर्माण प्राधिकरण गठन भई पुनर्निर्माण तथा पुनर्स्थापना कार्य सुरु भयो। वि.सं. २०७४ कात्तिकमा विपद् जोखिम न्यूनीकरण तथा व्यवस्थापन ऐन जारी भयो।,"शीर्षक (Title): गोरखा भूकम्पपछिको पुनर्निर्माण संस्थागत व्यवस्था
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 8)
विषयवस्तु (Content): वि.सं. २०७२ वैशाख १२ गते गएको गोरखा भूकम्पबाट क्षतिग्रस्त संरचनाको पुनर्निर्माणका लागि २०७२ पुसमा नयाँ ऐनमार्फत राष्ट्रिय पुनर्निर्माण प्राधिकरण गठन भई पुनर्निर्माण तथा पुनर्स्थापना कार्य सुरु भयो। वि.सं. २०७४ कात्तिकमा विपद् जोखिम न्यूनीकरण तथा व्यवस्थापन ऐन जारी भयो।","{'chunk_id': 'NDRRMA_2082_EQ_005', 'title': 'गोरखा भूकम्पपछिको पुनर्निर्माण संस्थागत व्यवस्था', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 8, 'language': 'ne', 'word_count': 38, 'disaster_type': 'earthquake'}",38
NDRRMA_2082_EQ_006,भूकम्प - दश वर्षको तथ्याङ्क (२०७२-२०८१),"२०७२ वैशाख १२ गतेको भूकम्प यस अवधिको सबैभन्दा विनाशकारी विपद् रह्यो। यस अवधिमा मुलुकभर भूकम्पका ३१२ वटा घटना अभिलेख भएका छन्, जसमा परी ९,१२४ को मृत्यु भएको छ भने १९५ जना बेपत्ता, २२,७४३ जना घाइते भए। ७,९९,७९८ वटा घर पूर्ण रूपमा र ३,३८,११० वटा घर आंशिक रूपमा क्षति भएको तथ्याङ्क छ। गोरखा भूकम्पपछि २०८० कात्तिक १७ गते जाजरकोटलाई केन्द्र बनाएर गएको भूकम्पबाट धेरै जनधनको क्षति भयो।","शीर्षक (Title): भूकम्प - दश वर्षको तथ्याङ्क (२०७२-२०८१)
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 21)
विषयवस्तु (Content): २०७२ वैशाख १२ गतेको भूकम्प यस अवधिको सबैभन्दा विनाशकारी विपद् रह्यो। यस अवधिमा मुलुकभर भूकम्पका ३१२ वटा घटना अभिलेख भएका छन्, जसमा परी ९,१२४ को मृत्यु भएको छ भने १९५ जना बेपत्ता, २२,७४३ जना घाइते भए। ७,९९,७९८ वटा घर पूर्ण रूपमा र ३,३८,११० वटा घर आंशिक रूपमा क्षति भएको तथ्याङ्क छ। गोरखा भूकम्पपछि २०८० कात्तिक १७ गते जाजरकोटलाई केन्द्र बनाएर गएको भूकम्पबाट धेरै जनधनको क्षति भयो।","{'chunk_id': 'NDRRMA_2082_EQ_006', 'title': 'भूकम्प - दश वर्षको तथ्याङ्क (२०७२-२०८१)', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 21, 'language': 'ne', 'word_count': 66, 'disaster_type': 'earthquake'}",66
NDRRMA_2082_EQ_007,गोरखा भूकम्प (२०७२ वैशाख १२) - क्षतिको विवरण,"२०७२ वैशाख १२ गतेको विनाशकारी भूकम्प यस अवधिको सबैभन्दा ठूलो विपद्, जसमा परी झन्डै ९ हजार को मृत्यु भयो र धेरै गम्भीर घाइते भए। राष्ट्रिय योजना आयोगले तयार गरेको विपद्पछिको आवश्यकता आकलन प्रतिवेदन अनुसार भूकम्पबाट ४ लाख ९८ हजार ८५२ निजी आवास पूर्ण रूपमा क्षतिग्रस्त भए भने २ लाख ५६ हजार ६९७ घरमा क्षति पुग्यो। साथै ४१५ सरकारी विद्यालय, १,१९७ स्वास्थ्य संस्था र ९२० सांस्कृतिक सम्पदा भवन क्षतिग्रस्त भए। उक्त आकलनका अनुसार उक्त भूकम्पले ७०६ अर्ब रुपैयाँभन्दा बढीको भौतिक क्षति गर्‍यो।","शीर्षक (Title): गोरखा भूकम्प (२०७२ वैशाख १२) - क्षतिको विवरण
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 22)
विषयवस्तु (Content): २०७२ वैशाख १२ गतेको विनाशकारी भूकम्प यस अवधिको सबैभन्दा ठूलो विपद्, जसमा परी झन्डै ९ हजार को मृत्यु भयो र धेरै गम्भीर घाइते भए। राष्ट्रिय योजना आयोगले तयार गरेको विपद्पछिको आवश्यकता आकलन प्रतिवेदन अनुसार भूकम्पबाट ४ लाख ९८ हजार ८५२ निजी आवास पूर्ण रूपमा क्षतिग्रस्त भए भने २ लाख ५६ हजार ६९७ घरमा क्षति पुग्यो। साथै ४१५ सरकारी विद्यालय, १,१९७ स्वास्थ्य संस्था र ९२० सांस्कृतिक सम्पदा भवन क्षतिग्रस्त भए। उक्त आकलनका अनुसार उक्त भूकम्पले ७०६ अर्ब रुपैयाँभन्दा बढीको भौतिक क्षति गर्‍यो।","{'chunk_id': 'NDRRMA_2082_EQ_007', 'title': 'गोरखा भूकम्प (२०७२ वैशाख १२) - क्षतिको विवरण', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 22, 'language': 'ne', 'word_count': 81, 'disaster_type': 'earthquake'}",81
NDRRMA_2082_EQ_008,डोटी भूकम्प (२०७९ कात्तिक),वि.सं. २०७९ कात्तिक २२ गते बिहान ६.६ म्याग्नियुडको भूकम्पका कारण घर भत्किँदा पूर्वी चौकी गाउँपालिका-३ गैरागाउँका ६ जनाको मृत्यु भयो भने पाँच जना घाइते भए। उक्त भूकम्पको केन्द्रबिन्दु सप्तड राष्ट्रिय निकुञ्ज रहेको थियो।,"शीर्षक (Title): डोटी भूकम्प (२०७९ कात्तिक)
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 25)
विषयवस्तु (Content): वि.सं. २०७९ कात्तिक २२ गते बिहान ६.६ म्याग्नियुडको भूकम्पका कारण घर भत्किँदा पूर्वी चौकी गाउँपालिका-३ गैरागाउँका ६ जनाको मृत्यु भयो भने पाँच जना घाइते भए। उक्त भूकम्पको केन्द्रबिन्दु सप्तड राष्ट्रिय निकुञ्ज रहेको थियो।","{'chunk_id': 'NDRRMA_2082_EQ_008', 'title': 'डोटी भूकम्प (२०७९ कात्तिक)', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 25, 'language': 'ne', 'word_count': 33, 'disaster_type': 'earthquake'}",33
NDRRMA_2082_EQ_009,जाजरकोट भूकम्प (२०८० कात्तिक),"वि.सं. २०८० कात्तिक १७ गते राति ११ बजेर ४७ मिनेटमा जाजरकोटलाई केन्द्रबिन्दु बनाएर गएको ६.४ रेक्टर स्केलको भूकम्पमा परी जाजरकोट र रुकुम पश्चिममा १ सय ५४ जनाको मृत्यु भयो। यी दुई जिल्लासहित प्रभावित अन्य केही जिल्लामा गरी हजारौं घर क्षतिग्रस्त भए। त्यसको एक महिनाअघि २०८० असोज १६ गते बझाङको चैनपुर आसपास केन्द्रबिन्दु भएर ५.३ र ६.३ म्याग्निच्युडको भूकम्प गएको थियो, जसमा परी एक महिलाको मृत्यु भयो।","शीर्षक (Title): जाजरकोट भूकम्प (२०८० कात्तिक)
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 25)
विषयवस्तु (Content): वि.सं. २०८० कात्तिक १७ गते राति ११ बजेर ४७ मिनेटमा जाजरकोटलाई केन्द्रबिन्दु बनाएर गएको ६.४ रेक्टर स्केलको भूकम्पमा परी जाजरकोट र रुकुम पश्चिममा १ सय ५४ जनाको मृत्यु भयो। यी दुई जिल्लासहित प्रभावित अन्य केही जिल्लामा गरी हजारौं घर क्षतिग्रस्त भए। त्यसको एक महिनाअघि २०८० असोज १६ गते बझाङको चैनपुर आसपास केन्द्रबिन्दु भएर ५.३ र ६.३ म्याग्निच्युडको भूकम्प गएको थियो, जसमा परी एक महिलाको मृत्यु भयो।","{'chunk_id': 'NDRRMA_2082_EQ_009', 'title': 'जाजरकोट भूकम्प (२०८० कात्तिक)', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 25, 'language': 'ne', 'word_count': 66, 'disaster_type': 'earthquake'}",66
NDRRMA_2082_EQ_010,झटपट झोला (Go Bag) - भूकम्प लगायत विपद्को पूर्वतयारी,"केही सामग्री तयार गरी राखे अकस्मात आउने भूकम्प, आगलागी, बाढी, पहिरो आदि विपद्को समयमा काम लाग्छन्। परिवारमा बालबालिका, वृद्धवृद्धा वा बिरामीलाई नभइनहुने र अन्य सदस्यलाई पनि काम लाग्ने सामग्री, औषधी, सुख्खा खानेकुरा, महत्त्वपूर्ण कागजात आदि सुरक्षित झोला वा थैलोमा राखेर झटपट झोला तयार गरी राख्नुपर्छ र प्रकोप भए आफूसँगै लिएर सुरक्षित ठाउँमा जानुपर्छ।","शीर्षक (Title): झटपट झोला (Go Bag) - भूकम्प लगायत विपद्को पूर्वतयारी
स्रोत (Source): NDRRMA_DRRM_Handbook_2082 (Page 27)
विषयवस्तु (Content): केही सामग्री तयार गरी राखे अकस्मात आउने भूकम्प, आगलागी, बाढी, पहिरो आदि विपद्को समयमा काम लाग्छन्। परिवारमा बालबालिका, वृद्धवृद्धा वा बिरामीलाई नभइनहुने र अन्य सदस्यलाई पनि काम लाग्ने सामग्री, औषधी, सुख्खा खानेकुरा, महत्त्वपूर्ण कागजात आदि सुरक्षित झोला वा थैलोमा राखेर झटपट झोला तयार गरी राख्नुपर्छ र प्रकोप भए आफूसँगै लिएर सुरक्षित ठाउँमा जानुपर्छ।","{'chunk_id': 'NDRRMA_2082_EQ_010', 'title': 'झटपट झोला (Go Bag) - भूकम्प लगायत विपद्को पूर्वतयारी', 'source': 'NDRRMA_DRRM_Handbook_2082', 'page_number': 27, 'language': 'ne', 'word_count': 53, 'disaster_type': 'earthquake'}",53
