text,intent
अहिले आमा सँग भेटभयो,family_reunification_status
ग्यासकोपाइप भाँचियो भूकम्पमा,gas_leak_report
मेडिकल इमर्जेन्सी छ मद्दत गर्नुहोस् हजुर,medical_emergency_request
राहत शिविरमा बुबा भेटियो है,family_reunification_status
ललितपुर मा तोकिएको सुरक्षित क्षेत्र कहाँ छ है,safe_location_query
दिदी लाई गहिरो घाउछ,injury_report
हाम्रो घर असुरक्षित छ आश्रयचाहियो,shelter_request
यो भूकम्पसँग सम्बन्धित छैन प्लिज,fallback_unclear
छत खसेर छोरा थुनिनुभयो,trapped_debris_report
सहयोग गर्नु न प्लिज,sos_help_request
गोडा मर्केर हिँड्न सकिँन,injury_report
हजुरलाई नमस्कार???,greeting
निकासाको मार्ग के हो प्लिज,evacuation_guidance_query
सडकमा पर्खाल भत्कियो छिटो,building_collapse_report
केम अहिले घरभित्र फर्कन सक्छु,building_damage_check
गोर्खा को लागि पराकम्प चेतावनी प्लिज,aftershock_information_query
घरमा भूकम्प तयारीको उत्तम अभ्यास के हो प्लिज,preparedness_tips_query
ललितपुर मा जोडदार धक्का महसुस भयो!!,earthquake_occurring_report
संरचना भत्कियोमानिसहरू भित्रै हुन सक्छन्,building_collapse_report
भूकम्पदेखि हजुरबुबा बेपत्ता हुनुभएको छ,family_member_missing
राहत शिविरमा हजुरबुबा भेटियो,family_reunification_status
बाई???,goodbye_thanks
छिमेकभरि बिजुली गएको छ,power_outage_report
बुबा को लागि खाद्यान्न चाहियो,food_water_request
घरभरि ग्यासको गन्ध छ प्लिज,gas_leak_report
आमा लाई गम्भीरचोट लागेको छ,injury_report
जाजरकोट मा बिजुलीको तार खसेकोछ,power_outage_report
हामी कहाँ सुरक्षित आश्रय लिन सक्छौं प्लिज,safe_location_query
हामीलाई मद्दत चाहियो???,sos_help_request
पोखरा को लागि निकासा योजना,evacuation_guidance_query
काठमाडौं मा जोडदार धक्का महसुस भयो!!,earthquake_occurring_report
काठमाडौं मा बिजुलीकोतार खसेको छ,power_outage_report
आज राति थप धक्का आउनसक्छ कि,aftershock_information_query
म र हजुरआमा थुनिएका छौं,trapped_debris_report
काठमाडौं मा आगो लागेको छ,fire_incident_report
के पराकम्प आउने छ,aftershock_information_query
बुबा लडेरढाडमा चोट लाग्यो!!,injury_report
भूकम्पदेखि हजुरबुबा को फोन लाग्दैन,family_member_missing
मद्दत गर्नुहोस् है???,sos_help_request
हजुरबुबा लाई गहिरोघाउ छ,injury_report
विस्थापितहरूलाई बस्ने ठाउँ चाहिन्छ,shelter_request
नमस्ते,greeting
भूकम्पदेखिहजुरबुबा को फोन लाग्दैन,family_member_missing
एस ओ एस,sos_help_request
गोर्खा मा तोकिएको सुरक्षित क्षेत्र कहाँ छ!!,safe_location_query
भूकम्प गयो???,earthquake_occurring_report
जाजरकोट नजिकैको घरमा आगोलागेको छ,fire_incident_report
गोर्खाको लागि निकासा योजना,evacuation_guidance_query
जाजरकोट मा जोडदार धक्का महसुस भयो छिटो,earthquake_occurring_report
ललितपुर मा दिदीलाई खोजिरहेको छु,family_member_missing
दिदी को लागि खाद्यान्न चाहियो,food_water_request
भक्तपुर मा घर भत्कियो,building_collapse_report
परिवारको लागि खाद्य सामग्रीचाहियो,food_water_request
यहाँ सफा पानी उपलब्ध छैन छिटो,food_water_request
के होयो,fallback_unclear
छत खसेर दिदी थुनिनुभयो हजुर,trapped_debris_report
भूकम्प भर्खरैआएको हो,earthquake_occurring_report
नमस्ते जी है,greeting
ललितपुर मा जोडदार धक्का महसुस भयो,earthquake_occurring_report
दाजुअझै घर आउनुभएको छैन,family_member_missing
भक्तपुर मा घरभत्कियो,building_collapse_report
भान्सामा सानो आगो लागेको छ,fire_incident_report
मद्दतको लागि धन्यवाद,goodbye_thanks
बुबा भग्नावशेषमुनि थुनिनुभयो छिटो,trapped_debris_report
के म भवनभित्रफेरि जान मिल्छ,building_damage_check
बिजुली कहिले आउँछ है,power_outage_report
काठमाडौं नजिकैको घरमा आगो लागेको छ,fire_incident_report
जोक भन छिटो,fallback_unclear
भक्तपुर मा तोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query
तिमी कति उमेरको हौ,fallback_unclear
भवनबाट बाहिर निस्कने सबैभन्दा सुरक्षित तरिका!!,evacuation_guidance_query
दाजु लाई छातीमा दुखाइ भइरहेको छ,medical_emergency_request
भवनबाट निकासा गर्ने चरणहरू!!,evacuation_guidance_query
आदाब प्लिज,greeting
पोखरा नजिकैको घरमा आगो लागेको छ छिटो,fire_incident_report
छत खसेर दिदी थुनिनुभयो है,trapped_debris_report
ठिक छ धन्यवाद,goodbye_thanks
ललितपुर मा आगो छिट्टै फैलिँदैछ छिटो,fire_incident_report
आमालाई गहिरो घाउ छ,injury_report
नजिकै कुनै राहत शिविर छ कि है,shelter_request
आमा लडेरढाडमा चोट लाग्यो,injury_report
राहतशिविरमा हजुरबुबा भेटियो,family_reunification_status
कोहि छैन र मद्दत गर्ने,sos_help_request
मलबाका कारण राजमार्ग बन्द भयो???,road_blockage_report
जाजरकोट माआगो लागेको छ,fire_incident_report
पहिरोले एकमात्र सडक बन्द भयो प्लिज,road_blockage_report
आमा र बालबालिकाका लागि आश्रय चाहियो छिटो,shelter_request
के हामी तुरुन्तै निकासा गर्नुपर्छ,evacuation_guidance_query
हिजोदेखि खानाछैन,food_water_request
ठिक छ धन्यवाद???,goodbye_thanks
हजुरबुबालाई एम्बुलेन्स चाहियो छिटो,medical_emergency_request
ललितपुर मा सम्पूर्ण भवन ढल्यो,building_collapse_report
ललितपुर मा दिदी लाई खोजिरहेको छु!!,family_member_missing
घर भत्किएर भित्र फसियौं हजुर,trapped_debris_report
हजुरबुबा लाईएम्बुलेन्स चाहियो छिटो,medical_emergency_request
छत खसेर हजुरबुबा थुनिनुभयो हजुर,trapped_debris_report
दाजु भग्नावशेषमुनिथुनिनुभयो,trapped_debris_report
गोर्खा मा आगो लागेको छ हजुर,fire_incident_report
म र आमा थुनिएका छौं???,trapped_debris_report
ल ठिक छ धन्यवाद,goodbye_thanks
पोखरा मातोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query
दिदी बेहोस हुनुभयो,medical_emergency_request
नजिकै कुनै राहत शिविर छ कि,shelter_request
ललितपुर नजिकको पुलभत्कियो,road_blockage_report
जाजरकोट नजिकैको घरमा आगो लागेको छ!!,fire_incident_report
स्कूल भवन आंशिक रूपमा भत्कियो!!,building_collapse_report
दाजुबेहोस हुनुभयो,medical_emergency_request
काठमाडौंमा बिजुली गएको छ,power_outage_report
काठमाडौं मा आगो छिट्टै फैलिँदैछ,fire_incident_report
राष्ट्रिय आपतकालीनकार्य केन्द्रको नम्बर,emergency_contact_request
निकासाको मार्गके हो,evacuation_guidance_query
जाजरकोट नजिकको पुल भत्कियो हजुर,road_blockage_report
काठमाडौं नजिक ग्यास चुहावट भयो,gas_leak_report
नजिकैको राहत शिविर कहाँ छ छिटो,shelter_request
पानीको आपूर्ति बन्द भयो पानी चाहियो हजुर,food_water_request
भूकम्पदेखि बुबा को फोनलाग्दैन,family_member_missing
अहिले हजुरबुबा सँगभेट भयो,family_reunification_status
ललितपुर जान सकिँदैन सडक बन्द छ,road_blockage_report
पोखरा मा जोडदार धक्का महसुस भयो!!,earthquake_occurring_report
भान्सामा सानो आगो लागेको छ!!,fire_incident_report
यो घरमा बस्न सुरक्षित छ कि छैन हजुर,building_damage_check
यहाँ सफा पानी उपलब्ध छैन प्लिज,food_water_request
दाजु लाई सुरक्षित फेला परेको छ???,family_reunification_status
दुई दिनदेखि बिजुली छैन,power_outage_report
ग्यासको पाइप भाँचियोभूकम्पमा,gas_leak_report
हेल्लो!!,greeting
नमस्ते जी,greeting
जाजरकोट मा आगो लागेको छ,fire_incident_report
भूकम्पपछिआगलागी भयो,fire_incident_report
नमस्कार छिटो,greeting
मुख्य सडक बन्द छ है,road_blockage_report
दमकलको सम्पर्क नम्बर छिटो,emergency_contact_request
काठमाडौं मा भूकम्प गयो,earthquake_occurring_report
धन्यवादबहिनी,goodbye_thanks
नमस्कार सर,greeting
ललितपुर मा सम्पूर्ण भवन ढल्यो हजुर,building_collapse_report
दिदी लाई छातीमा दुखाइ भइरहेकोछ,medical_emergency_request
जाजरकोट मा सम्पूर्ण भवन ढल्यो,building_collapse_report
हजुरबुबाबेहोस हुनुभयो,medical_emergency_request
मर्केकोखुट्टाको लागि के गर्ने,first_aid_query
साथी नमस्ते,greeting
गोर्खा मा सम्पूर्ण भवनढल्यो,building_collapse_report
भूकम्पपछि भवनको सुरक्षाजाँच कसले गर्छ,building_damage_check
पोखरा मा जोडदार धक्का महसुस भयो,earthquake_occurring_report
आमा लाई एम्बुलेन्स चाहियो छिटो,medical_emergency_request
नमस्ते???,greeting
जाँच्दैछु,fallback_unclear
हजुरआमा लाई छातीमादुखाइ भइरहेको छ,medical_emergency_request
राति बस्न पालचाहियो,shelter_request
पोखरा को लागि पराकम्पचेतावनी,aftershock_information_query
आमा लाई सुरक्षित फेला परेको छ,family_reunification_status
अनि!!,fallback_unclear
