id,language,text,intent,source
1,en,roofcaved in during the quake,building_collapse_report,english_dataset.csv
2,en,what is thecurrent situation,status_check_general,english_dataset.csv
3,en,what is the current situation,status_check_general,english_dataset.csv
4,en,building on firenear Lalitpur,fire_incident_report,english_dataset.csv
5,en,hey htere,greeting,english_dataset.csv
6,en,strong gas smell in the building,gas_leak_report,english_dataset.csv
7,en,hleo,greeting,english_dataset.csv
8,en,nearesst open ground for evacuation,safe_location_query,english_dataset.csv
9,en,earthquake hhit Pokhara just now,earthquake_occurring_report,english_dataset.csv
10,en,wat to do during evacuation,evacuation_guidance_query,english_dataset.csv
11,en,earthquake hit Pokhara jst now,earthquake_occurring_report,english_dataset.csv
12,en,strong tremor felt justnow,earthquake_occurring_report,english_dataset.csv
13,en,good evening!!!,greeting,english_dataset.csv
14,en,my father having chest pain pls,medical_emergency_request,english_dataset.csv
15,en,hmm,fallback_unclear,english_dataset.csv
16,en,my grandmother collapsed an dnot waking up,medical_emergency_request,english_dataset.csv
17,en,electricit is out across the neighborhood,power_outage_report,english_dataset.csv
18,en,my grandfather collapsed and not wakinng up,medical_emergency_request,english_dataset.csv
19,en,road blocked by landslide near Gorkha,road_blockage_report,english_dataset.csv
20,en,my brother has a deepwound,injury_report,english_dataset.csv
21,en,need clean drinking waetr urgently,food_water_request,english_dataset.csv
22,en,aparmtent block collapsed nearby,building_collapse_report,english_dataset.csv
23,en,critical patient needs ambulance now pls,medical_emergency_request,english_dataset.csv
24,en,how to evacuate with elderly people,evacuation_guidance_query,english_dataset.csv
25,en,found my grandfather at the relief camp asap,family_reunification_status,english_dataset.csv
26,en,nepal red cross helplinenumber,emergency_contact_request,english_dataset.csv
27,en,where is the nearest safe zone,safe_location_query,english_dataset.csv
28,en,building on fire near Kathmandu plz,fire_incident_report,english_dataset.csv
29,en,theground is shaking,earthquake_occurring_report,english_dataset.csv
30,en,where is the designated safe zone in Lalitpur???,safe_location_query,english_dataset.csv
31,en,my gradmother has been located safely,family_reunification_status,english_dataset.csv
32,en,worried abut gas leak in apartment,gas_leak_report,english_dataset.csv
33,en,my grandmotheris stuck under the roof,trapped_debris_report,english_dataset.csv
34,en,my sonn is trapped under debris,trapped_debris_report,english_dataset.csv
35,en,medical help needed urgently,medical_emergency_request,english_dataset.csv
36,en,who inspects buidling safety after earthquake,building_damage_check,english_dataset.csv
37,en,cannot reach Gorkha road is closed!!!,road_blockage_report,english_dataset.csv
38,en,entirebuilding came down in Jajarkot,building_collapse_report,english_dataset.csv
39,en,my grandfather is unconscious,medical_emergency_request,english_dataset.csv
40,en,thanks that's all,goodbye_thanks,english_dataset.csv
41,en,what to do during evacuation,evacuation_guidance_query,english_dataset.csv
42,en,steps to evacuate the building,evacuation_guidance_query,english_dataset.csv
43,en,hey QSFAE,greeting,english_dataset.csv
44,en,seend help,sos_help_request,english_dataset.csv
45,en,my brother has a deep wound,injury_report,english_dataset.csv
46,en,earthquake hit Bhaktapur just now,earthquake_occurring_report,english_dataset.csv
47,en,how to ehlp choking person,first_aid_query,english_dataset.csv
48,en,tent camp location neeedd,shelter_request,english_dataset.csv
49,en,cannot find my son after thequake,family_member_missing,english_dataset.csv
50,en,i need elp,sos_help_request,english_dataset.csv
51,en,stuck nuder a collapsed wall,trapped_debris_report,english_dataset.csv
52,en,how to register a found amily member,family_reunification_status,english_dataset.csv
53,en,evacuation instructions please,evacuation_guidance_query,english_dataset.csv
54,en,"thank you, tha helped",goodbye_thanks,english_dataset.csv
55,en,safest way to leave the building,evacuation_guidance_query,english_dataset.csv
56,en,we just felt an earthquake in Gorkha???,earthquake_occurring_report,english_dataset.csv
57,en,hey,greeting,english_dataset.csv
58,en,cannot find my son after the quake,family_member_missing,english_dataset.csv
