text,intent,split
namaste,greeting,train
काठमाडौं मा बिजुलीको तारखसेको छ,power_outage_report,train
dos ths thing work,fallback_unclear,train
help,sos_help_request,train
meroo didi sanga abhi reunite bhayo,family_reunification_status,train
ahile kgarnu parxa,status_check_general,train
gana gauna skanu huncha,fallback_unclear,train
ghr bhitra farkana milxa ki,building_damage_check,train
hlepp,sos_help_request,train
जाजरकोट मा तोकिएको सुरक्षित क्षेत्र कहाँ छ हजुर,safe_location_query,train
mero didi pinned under debris malai help chai,trapped_debris_report,train
should we evacuate now,evacuation_guidance_query,train
भक्तपुरमा बिजुली गएको छ,power_outage_report,train
मौसम कस्तो छ,fallback_unclear,train
हजुरबुबा लडेरढाडमाचोट लाग्यो,injury_report,train
मलाई थाहा छैन के गर्ने,status_check_general,train
कोही सास फेर्न सकिरहेको छैन हजुर,medical_emergency_request,train
my grandmother having chest pain,medical_emergency_request,train
भूकम्पदेखि बुबा कोफोन लाग्दैन,family_member_missing,train
छत खसेर बुबा थुनिनुभयो,trapped_debris_report,train
टाउकोबाट रगत बगिरहेको छ,injury_report,train
bhukampa pachi cracka ayo pls,building_damage_check,train
Kathmandu maambulance patau na,medical_emergency_request,train
hbukampa pachi mero aama lai bhettauna sakna,family_member_missing,train
aftershock kati samma rahanxa asap,aftershock_information_query,train
thank u dai malai thaha bhayo,goodbye_thanks,train
मलाई थाहा छैन के गर्ने है,status_check_general,train
काठमाडौं मा आगो लागेको छ,fire_incident_report,train
बुबा ला ईसुरक्षित फेला परेकोछ,family_reunification_status,train
power outagec ha hamro area ma,power_outage_report,train
जाँच्दैछु प्लिज,fallback_unclear,train
aftershock aaunxa ki???,aftershock_information_query,train
aftershock pachi ghar bhitra sutna safe cha ki help,aftershock_information_query,train
safeplace kaha xa near Jajarkot,safe_location_query,train
help garnuna plz,sos_help_request,train
cn you sing a song urgent pls,fallback_unclear,train
found my motherat the relief camp,family_reunification_status,train
aparmtent block collapsed nearby,building_collapse_report,train
my rgandfather is unconscious,medical_emergency_request,train
mero bhai pinned under deris malai help chai,trapped_debris_report,train
huh,fallback_unclear,train
राष्ट्रिय आपतकालीनकार्य केन्द्रको नम्बर,emergency_contact_request,train
गोर्खा नजिक ग्यास चुहावट भयो,gas_leak_report,train
पोखरा को लागिनिकासा योजना,evacuation_guidance_query,train
"namaste bot, are u online",greeting,train
kitchen m aago lagyo bhukampa ko bela,fire_incident_report,train
my mothris stuck under the roof,trapped_debris_report,train
where is the designnted safe zone in Kathmandu,safe_location_query,train
लठ िक छ बाई,goodbye_thanks,train
gas ko smell airaxa bhukampa pachi pls,gas_leak_report,train
ग्यास चुहियो छिटो,gas_leak_report,train
helpp,sos_help_request,train
hi mlai chahiyo help,greeting,train
my motherc ollapsed and not waking up,medical_emergency_request,train
आमा लाई छातीमाद ुखाइ भइरहेको छ,medical_emergency_request,train
hey QSAEF,greeting,train
earthqauke alert,earthquake_occurring_report,train
my daughter is stuck under the roof,trapped_debris_report,train
wall khaseko le mero bhai lai thichyo now,trapped_debris_report,train
family ko lagi foodsupply chai,food_water_request,train
ok ybe,goodbye_thanks,train
wall khaseko le mero didi lai thichyo,trapped_debris_report,train
joke bhanna saknu hucha,fallback_unclear,train
relief camp ma mero buwabhetiyo,family_reunification_status,train
entire building came down in Gorkha,building_collapse_report,train
आाम को लागि खाद्यान्न चाहियो,food_water_request,train
hkana ra pani sakiyo help,food_water_request,train
someone fainted need medical help???,medical_emergency_request,train
good orning,greeting,train
furniture lai khasnu bata kasari secure garne,preparedness_tips_query,train
my mother has been located safely,family_reunification_status,train
building bata evacuate garne steps now,evacuation_guidance_query,train
building ma fire xa Kathmandu najik asap,fire_incident_report,train
how mny aftershocks re expected,aftershock_information_query,train
भवनबाटब ाहिर निस्कने सबैभन्दा सुरक्षित तरिका,evacuation_guidance_query,train
entire building came down in Jajarkot,building_collapse_report,train
namaste ma euta prashna sodhna chahanchu,greeting,train
बुबा को बेपत्ताव्यक्ति रिपोर्ट,family_member_missing,train
my grandfather collapsed and not waking up,medical_emergency_request,train
my mother is missing since the eaarthquake,family_member_missing,train
buildin ma frie xa bazaar najik,fire_incident_report,train
जाजरकोटनजिक पहिरोले सडक बन्द भयो,road_blockage_report,train
ललितपुर मा बिजुली गएको छ,power_outage_report,train
searching for my sister in Kathmandu,family_member_missing,train
बेहोस भएको मान्छेलाई कसरी मद्दत गर्ने है,first_aid_query,train
how to preprae kids for earthquake drills,preparedness_tips_query,train
building aliakti tilt bhayo danger chaki,building_damage_check,train
gaun jana sakidaina road band cah,road_blockage_report,train
जाजरकोट मा बिजुलीको तार खसेकोछ,power_outage_report,train
कोही छ सहयोग गर्नुहोस्???,sos_help_request,train
घरभरि ग्यासको गन्ध छ,gas_leak_report,train
medical emergency cha help garnu help,medical_emergency_request,train
my fathe rhsa a deep wound,injury_report,train
mero aama laai chest ma dukheko xa,medical_emergency_request,train
काठमाडौं मा तोकिएको सुरक्षित क्षेतर् कहाँ छ!!,safe_location_query,train
whe will power be restored,power_outage_report,train
merodidi sfe cha vanera status update garna man xa,family_reunification_status,train
ground shknig very hard,earthquake_occurring_report,train
highway blocked deu to debris,road_blockage_report,train
mero saathi debrismuni thuniyo,trapped_debris_report,train
doctor chaixa abhi nai,medical_emergency_request,train
first aid for a broken arm,first_aid_query,train
tset,fallback_unclear,train
my father is uconscious,medical_emergency_request,train
हजुरआमाको बेपत्ता व्यक्ति िरपोर्ट,family_member_missing,train
safe place kaha cha,safe_location_query,train
yaha saaf pani xaina,food_water_request,train
what to do for a sprained ankle,first_aid_query,train
हजुरबुबा बेहोस हुनुभयो,medical_emergency_request,train
घाउमापट्टी कसरी बाँध्ने,first_aid_query,train
बुबा लाई छातीमा दुखाइ भइरहेकोछ,medical_emergency_request,train
मलबाका कारण राजमार्ग बन्द भयो???,road_blockage_report,train
bihana dekhii mero bhai bata khabar xaina,family_member_missing,train
aago chittai failria xa hamro area ma,fire_incident_report,train
yo ghar ma basna safe cha ki xania,building_damage_check,train
गोर्खा मा आगो लागेको छ हजुर,fire_incident_report,train
जाजरकोट मा जोडदार धक्का महसुस भयो छिटो,earthquake_occurring_report,train
where is the designated safe zone in Kathmandu,safe_location_query,train
दिदी कोलागि खाद्यान्न चाहियो,food_water_request,train
bhukampa pachi mero mama lai bhettauna sakina urgent pls,family_member_missing,train
bhukampa report garna man xaPokhara ma,earthquake_occurring_report,train
mero bhi unconscious hbayo,medical_emergency_request,train
wall ma crack dekhiyo,building_damage_check,train
haa tma minor cho txa,injury_report,train
evacuatino ko instructions dinu hos,evacuation_guidance_query,train
हेल्लो हजुर हजुर,greeting,train
विपद रिपोर्टिङ हटलाइन है,emergency_contact_request,train
bhchiyeko haat ko first aid k ho,first_aid_query,train
buied under rubble,trapped_debris_report,train
need tents for the nnight,shelter_request,train
रगतबग्न रोक्ने उपाय के हो,first_aid_query,train
गीत गाउन सक्छौ,fallback_unclear,train
road blocked by ladnslid enear Gorkha,road_blockage_report,train
बाल हेल्पलइाननम्बर,emergency_contact_request,train
भूकम्पपछि भवनको सुरक्षा जाँच कसले गर्छ,building_damage_check,train
medicalemergency please help,medical_emergency_request,train
mero ama buwa ra ids ko lagi shelter chai,shelter_request,train
एस ओ एस हजुर,sos_help_request,train
road blocked by landslide near Bhhaktapur,road_blockage_report,train
mero buwal ai safely locate garya,family_reunification_status,train
नजिकैको सुर्कषित भेला हुने ठाउँ,safe_location_query,train
reelief camp ma mero bhai bhetiyo,family_reunification_status,train
mero saathi aru ra kids ko lagi shelter chai,shelter_request,train
our house is unsafeneed shelter,shelter_request,train
stuck ca't get out,trapped_debris_report,train
helpm e right now now,sos_help_request,train
need foo dsupplies for familly,food_water_request,train
emergency supplies kati choti check garne pls,preparedness_tips_query,train
संरचना भत्कियो मानिसहरू भित्रै हुन सक्छन्,building_collapse_report,train
