text,intent,split
छत खसेर दिदी थुनिनुभयो,trapped_debris_report,train
बालबालिकालाई भूकम्प अभ्यासको लागि कसरीतयार पार्ने,preparedness_tips_query,validation
sas pherna sakeko xaina koi,medical_emergency_request,train
आज राति थप धक्का आउन सक्छ कि,aftershock_information_query,train
gaun jana akidaina road band cha,road_blockage_report,train
relief cmp ma mero aama bhetiyo,family_reunification_status,validation
सी पी आर कसरी गर्ने,first_aid_query,train
ok thanks bye is ma jaanchu,goodbye_thanks,train
bridge collapsed nearr Bhaktapur,road_blockage_report,train
how doi evacuate safely,evacuation_guidance_query,train
head injurybhayo debris khaseko le,injury_report,validation
koi vane help gara na,sos_help_request,train
aftershock kati samma rahanxa,aftershock_information_query,train
cannot reach Lalitpur road is clsoed,road_blockage_report,train
bihana dekhi mero bhai bata khabarxaina,family_member_missing,train
koi vane help gaa na,sos_help_request,train
भग्नावशेष खसेर टाउकोमा चोट लाग्यो,injury_report,train
आमालाई एम्बुलेन्स चाहियो छिटो,medical_emergency_request,train
मलाईमद्दत चाहियो,sos_help_request,train
यो घरमा बस्न सुरक्षित छ कि छैन है,building_damage_check,train
हिजोदेखि खाना छैन है,food_water_request,train
अहिले हजुरबुबा सँग भेट भयो,family_reunification_status,train
mero mama ko phone lagdaina bhukampa dekhi!!!,family_member_missing,train
hamro area ma fire lagyo,fire_incident_report,train
निकासाका निर्देशनहरू दिनुहोस्!!,evacuation_guidance_query,validation
help required,sos_help_request,validation
building aliakti tilt bhayo danger chaki,building_damage_check,train
strongtremor bhukampa jasto,earthquake_occurring_report,train
भवनबाट बाहिर निस्कने सबैभन्दा सुरक्षित तरिका छिटो,evacuation_guidance_query,train
अहिले दिदी सँग भेट भयो,family_reunification_status,validation
entire building came down in Gorkha,building_collapse_report,train
बुबा लाई सुरक्षित फेला परेकोछ,family_reunification_status,train
chat khasyobhukampa ma,building_collapse_report,train
फेरि भेटौंला है,goodbye_thanks,train
aago chittai failira xa bazaar ma,fire_incident_report,train
एकदमधन्यवाद,goodbye_thanks,train
ahile k garnu parxa,status_check_general,train
अनि,fallback_unclear,validation
brick khaseko le agyo,injury_report,validation
ghar baliraxa fire brigade chai,fire_incident_report,train
trapped xu ghar bhatkeko debris muni,trapped_debris_report,train
काठमाडौं मा आगो लागेको छ,fire_incident_report,train
bhukampa report garna man xaGorkha ma,earthquake_occurring_report,validation
mer obhai lai safely locate garya,family_reunification_status,train
thankks,goodbye_thanks,train
immediate help chai xa,sos_help_request,train
मद्दतपठाउनुहोस्,sos_help_request,train
काठमाडौं कोलागि पराकम्प चेतावनी,aftershock_information_query,train
no powerfor two days now,power_outage_report,train
घर भत्किएर भित्र फसियौं छिटो,trapped_debris_report,train
पर्खालले थिचेकोछ हल्लन सक्दिन,trapped_debris_report,train
gaun najik k opul bhatkiyo,road_blockage_report,validation
aftershock pachi ghar bhitra sutna safe cha ki now,aftershock_information_query,validation
no clean water available here???,food_water_request,train
बचाउनुहोस्???,sos_help_request,train
thank you dai nex ttime feri sodhchu,goodbye_thanks,train
भर्खरै भूकम्प आयो!!,earthquake_occurring_report,train
hamro ghar najik gas leakbhayo,gas_leak_report,train
दिदी र बालबालिकाका लागि आश्रय चाहियो है,shelter_request,train
earthquakea lert,earthquake_occurring_report,train
dhanyabad ekdum helpfulthiyo,goodbye_thanks,train
mero aama safe cha vanera status update garna mna xa,family_reunification_status,train
joke bhanna saknu huncha now,fallback_unclear,train
no power for two days now,power_outage_report,train
heey,greeting,validation
Kathmandu ma power line khaseko cha pls,power_outage_report,validation
waht,fallback_unclear,train
mero saaathi lai deep wound xa,injury_report,train
wall bhatkiyo road ma now,building_collapse_report,validation
hurt my leg during eaarthquake,injury_report,train
saaf khane pani urgent chai!!!,food_water_request,train
hami kahashelter linna sakxam safely,safe_location_query,train
अर्को भूकम्प आउने छ कि,aftershock_information_query,train
can you sing a song,fallback_unclear,validation
राहतशिविरमा दाजु भेटियो,family_reunification_status,validation
no clean water available ehre,food_water_request,train
छोरी को बेपत्ता व्यक्ति रिपोर्ट प्लिज,family_member_missing,train
massiveshaking right now,earthquake_occurring_report,train
भूकम्पपछि के गर्ने है,status_check_general,train
evacuation planf or Kathmandu,evacuation_guidance_query,train
hello daik cha khabar,greeting,train
bridge collapsed near Jajakot,road_blockage_report,train
भूकम्पपछि हजुरबुबा लाई भेट्टाउन सकिएको छैन प्लिज,family_member_missing,train
mausam kasto cha,fallback_unclear,train
cannot rech Kathmandu road is closed,road_blockage_report,train
यो भूकम्पसँगसम्बन्धित छैन,fallback_unclear,train
काठमाडौं मा बिजुली गएको छ है,power_outage_report,train
reunited with my grandmother now,family_reunification_status,train
जाजरकोट मा तोकिएको सुरक्षित क्षेत्र कहाँ छ हजुर,safe_location_query,validation
what todo for a sprained ankle,first_aid_query,train
भूकम्पपछिछोरी लाई भेट्टाउन सकिएको छैन,family_member_missing,train
earthquake preparedness tips please,preparedness_tips_query,train
भवनबाट निकासा गर्ने चरणहरू,evacuation_guidance_query,train
भूकम्प तयारीका सुझावहरू दिनुहोस् हजुर,preparedness_tips_query,train
mero buwa safe cha vanera status update garna man xa,family_reunification_status,train
emergecny contact number haru ko list,emergency_contact_request,train
schoool building half bhatkiyo,building_collapse_report,train
ललितपुर नजिकैको घरमा आगो लागेको छ हजुर,fire_incident_report,train
joke bhanna saknu hucha,fallback_unclear,validation
cprkasari garne,first_aid_query,train
aftershock kati samma rahanxa asap,aftershock_information_query,train
के छत,greeting,train
छतखसेर बुबा थुनिनुभयो,trapped_debris_report,train
पर्खालले थिचेको छ हल्लन सक्दिन,trapped_debris_report,train
ग्यास चुहियो छिटो,gas_leak_report,train
गोर्खा को लागि पराकम्प चेतावनी छिटो,aftershock_information_query,validation
छोरा भग्नावशेषमुनिथुनिनुभयो,trapped_debris_report,validation
thank u somuch,goodbye_thanks,train
broken arm need help,injury_report,train
strong gassmell xa building ma,gas_leak_report,train
yo help,greeting,train
ललितपुर मा आगो छिट्टै फैलिँदैछ,fire_incident_report,train
घर बलिरहेको छ दमकलचाहियो,fire_incident_report,train
our house is unsafe need shelter,shelter_request,train
fire broke out aftert he earthquake,fire_incident_report,train
अहिलेको अवस्था केहो,status_check_general,train
help ow,sos_help_request,train
the house isshaking badly,earthquake_occurring_report,train
Kathmandu ko lagi aftershock warning!!!,aftershock_information_query,train
हाम्रो घर असुरक्षित छ आश्रय चाहियो,shelter_request,validation
ललितपुर नजिक पहिरोले सडक बन्द भयो हजुर,road_blockage_report,train
bhukampa pachicrack aayo,building_damage_check,train
aftershock warning for Kathmandu,aftershock_information_query,validation
बुबा लाईगम्भीर चोट लागेको छ,injury_report,train
bhukampa pachi mero mama lai bhettauna sakina urgent pls,family_member_missing,train
eathquake preparedness ko tips dinu hos,preparedness_tips_query,train
nearest open ground for evacuation,safe_location_query,train
power lines downin Bhaktapur,power_outage_report,validation
hello ji sanchhai hunuhuncha,greeting,train
नमस्तेबुवा,greeting,train
my grandfater is injured badly,injury_report,train
mero buwa unconscious bhayo pls,medical_emergency_request,train
water supply cut off need water,food_water_request,train
no electricity since the earhquake,power_outage_report,train
shelter needed for my mother and kids,shelter_request,validation
building safe cha ki kaasari thaha pauney,building_damage_check,train
my grandmohter is stuck under the roof,trapped_debris_report,train
bhukampa gayo mero ghar najik ma,earthquake_occurring_report,validation
searching for my granfdather in Bhaktapur,family_member_missing,validation
म र दाजु थुनिएकाछौं,trapped_debris_report,train
malai thaha xaina k garne asap,status_check_general,train
power lines down in Laliitpur,power_outage_report,train
khutta ma chot lagyo running bela,injury_report,train
mero buwa debris muni thuniyo pls,trapped_debris_report,train
o bye,goodbye_thanks,train
hamro area jana sakidaina road band cha,road_blockage_report,train
budo budi sanga kasari evacuate garne,evacuation_guidance_query,train
घरमा भूकम्प तयारीको उत्तम अभ्यास के हो प्लिज,preparedness_tips_query,train
mero saathi lai ammbulance chai urgent,medical_emergency_request,validation
पोखरा को लागि पराकम्पचेतावनी,aftershock_information_query,validation
ललितपुरमा एम्बुलेन्स चाहियो,medical_emergency_request,train
गोर्खा जान सकिँदैन सडकबन्द छ,road_blockage_report,validation
आपतकालीन सम्पर्क नम्बरहरूको सूची हजुर,emergency_contact_request,train
ok bye,goodbye_thanks,train
aago chittai failira xa hamro area ma,fire_incident_report,train
please rescue me malai help chai,sos_help_request,train
apprecciate it,goodbye_thanks,train
आमा को लागि खाद्यान्न चाहियो,food_water_request,train
