text,intent,split,source
hi,greeting,real_world_test,generated
hello,greeting,real_world_test,generated
namaste,greeting,real_world_test,generated
hey there,greeting,real_world_test,generated
good morning,greeting,real_world_test,generated
good evening,greeting,real_world_test,generated
hi bhai,greeting,real_world_test,generated
hello didi,greeting,real_world_test,generated
namaste k cha,greeting,real_world_test,generated
hey,greeting,real_world_test,generated
hi there,greeting,real_world_test,generated
hello qsafe,greeting,real_world_test,generated
namaste qsafe,greeting,real_world_test,generated
hi i need help,greeting,real_world_test,generated
hello can you help me,greeting,real_world_test,generated
namaste malai,greeting,real_world_test,generated
hey qsafe,greeting,real_world_test,generated
hi everyone,greeting,real_world_test,generated
hello nepal,greeting,real_world_test,generated
namaste kasto cha,greeting,real_world_test,generated
hi this is emergency,greeting,real_world_test,generated
hello please help,greeting,real_world_test,generated
namaste malai help chaincha,greeting,real_world_test,generated
hey there anyone,greeting,real_world_test,generated
hi is anyone there,greeting,real_world_test,generated
hello i have a question,greeting,real_world_test,generated
namaste i need information,greeting,real_world_test,generated
hi qsafe nepal,greeting,real_world_test,generated
hello disaster response,greeting,real_world_test,generated
namaste emergency,greeting,real_world_test,generated
hi help needed,greeting,real_world_test,generated
hello please respond,greeting,real_world_test,generated
namaste tapaii,greeting,real_world_test,generated
hi service,greeting,real_world_test,generated
hello assistance,greeting,real_world_test,generated
namaste support,greeting,real_world_test,generated
hey help me,greeting,real_world_test,generated
hello i'm stuck,greeting,real_world_test,generated
namaste malai bachau,greeting,real_world_test,generated
hi emergency here,greeting,real_world_test,generated
hello disaster,greeting,real_world_test,generated
namaste bhukampa,greeting,real_world_test,generated
hey quick help,greeting,real_world_test,generated
hello urgent,greeting,real_world_test,generated
namaste tapaii k cha,greeting,real_world_test,generated
hi please,greeting,real_world_test,generated
hello thanks,greeting,real_world_test,generated
namaste dhanyabad,greeting,real_world_test,generated
hey good to see you,greeting,real_world_test,generated
hello available,greeting,real_world_test,generated
namaste online,greeting,real_world_test,generated
hi responding,greeting,real_world_test,generated
hello active,greeting,real_world_test,generated
namaste ready,greeting,real_world_test,generated
hey standing by,greeting,real_world_test,generated
hello waiting,greeting,real_world_test,generated
namaste prateeksha,greeting,real_world_test,generated
hi available now,greeting,real_world_test,generated
hello here now,greeting,real_world_test,generated
namaste yeta chan,greeting,real_world_test,generated
hey can assist,greeting,real_world_test,generated
hello can help,greeting,real_world_test,generated
namaste sahayata garna sakincha,greeting,real_world_test,generated
hi need info,greeting,real_world_test,generated
hello need information,greeting,real_world_test,generated
namaste jankari awashyak,greeting,real_world_test,generated
hey have question,greeting,real_world_test,generated
hello have query,greeting,real_world_test,generated
namaste prashn cha,greeting,real_world_test,generated
hi want to ask,greeting,real_world_test,generated
hello want to know,greeting,real_world_test,generated
namaste janna chan,greeting,real_world_test,generated
hey curious,greeting,real_world_test,generated
hello wondering,greeting,real_world_test,generated
namaste sanchalit,greeting,real_world_test,generated
hi interested,greeting,real_world_test,generated
hello concerned,greeting,real_world_test,generated
namaste chintit,greeting,real_world_test,generated
hey worried,greeting,real_world_test,generated
hello anxious,greeting,real_world_test,generated
namaste chinta,greeting,real_world_test,generated
hi scared,greeting,real_world_test,generated
hello afraid,greeting,real_world_test,generated
namaste dara,greeting,real_world_test,generated
hey nervous,greeting,real_world_test,generated
hello stressed,greeting,real_world_test,generated
namaste stress,greeting,real_world_test,generated
hi panic,greeting,real_world_test,generated
hello emergency,greeting,real_world_test,generated
namaste aapatti,greeting,real_world_test,generated
hey urgent,greeting,real_world_test,generated
hello critical,greeting,real_world_test,generated
namaste kritik,greeting,real_world_test,generated
hi immediate,greeting,real_world_test,generated
hello right now,greeting,real_world_test,generated
namamine abhi,greeting,real_world_test,generated
hey asap,greeting,real_world_test,generated
hello quickly,greeting,real_world_test,generated
namaste jaldi,greeting,real_world_test,generated
hi fast,greeting,real_world_test,generated
thank you,goodbye_thanks,real_world_test,generated
dhanyabad,goodbye_thanks,real_world_test,generated
thanks,goodbye_thanks,real_world_test,generated
thanks a lot,goodbye_thanks,real_world_test,generated
thank you so much,goodbye_thanks,real_world_test,generated
dhanyabad dherai,goodbye_thanks,real_world_test,generated
thank you very much,goodbye_thanks,real_world_test,generated
thanks for help,goodbye_thanks,real_world_test,generated
thank you for assistance,goodbye_thanks,real_world_test,generated
dhanyabad sahayata ko lagi,goodbye_thanks,real_world_test,generated
thanks qsafe,goodbye_thanks,real_world_test,generated
thank you qsafe,goodbye_thanks,real_world_test,generated
thanks for everything,goodbye_thanks,real_world_test,generated
thank you for your help,goodbye_thanks,real_world_test,generated
dhanyabad tapaimko sahayata ko lagi,goodbye_thanks,real_world_test,generated
thanks for being there,goodbye_thanks,real_world_test,generated
thank you for support,goodbye_thanks,real_world_test,generated
dhanyawaad sahayata ko lagi,goodbye_thanks,real_world_test,generated
thanks for quick response,goodbye_thanks,real_world_test,generated
