text,intent
roofcaved in during the quake,building_collapse_report
what is thecurrent situation,status_check_general
what is the current situation,status_check_general
building on firenear Lalitpur,fire_incident_report
hey htere,greeting
strong gas smell in the building,gas_leak_report
hleo,greeting
nearesst open ground for evacuation,safe_location_query
earthquake hhit Pokhara just now,earthquake_occurring_report
wat to do during evacuation,evacuation_guidance_query
earthquake hit Pokhara jst now,earthquake_occurring_report
strong tremor felt justnow,earthquake_occurring_report
good evening!!!,greeting
my father having chest pain pls,medical_emergency_request
hmm,fallback_unclear
my grandmother collapsed an dnot waking up,medical_emergency_request
electricit is out across the neighborhood,power_outage_report
my grandfather collapsed and not wakinng up,medical_emergency_request
road blocked by landslide near Gorkha,road_blockage_report
my brother has a deepwound,injury_report
need clean drinking waetr urgently,food_water_request
aparmtent block collapsed nearby,building_collapse_report
critical patient needs ambulance now pls,medical_emergency_request
how to evacuate with elderly people,evacuation_guidance_query
found my grandfather at the relief camp asap,family_reunification_status
nepal red cross helplinenumber,emergency_contact_request
where is the nearest safe zone,safe_location_query
building on fire near Kathmandu plz,fire_incident_report
theground is shaking,earthquake_occurring_report
where is the designated safe zone in Lalitpur???,safe_location_query
my gradmother has been located safely,family_reunification_status
worried abut gas leak in apartment,gas_leak_report
my grandmotheris stuck under the roof,trapped_debris_report
my sonn is trapped under debris,trapped_debris_report
medical help needed urgently,medical_emergency_request
who inspects buidling safety after earthquake,building_damage_check
cannot reach Gorkha road is closed!!!,road_blockage_report
entirebuilding came down in Jajarkot,building_collapse_report
my grandfather is unconscious,medical_emergency_request
thanks that's all,goodbye_thanks
what to do during evacuation,evacuation_guidance_query
steps to evacuate the building,evacuation_guidance_query
hey QSFAE,greeting
seend help,sos_help_request
my brother has a deep wound,injury_report
earthquake hit Bhaktapur just now,earthquake_occurring_report
how to ehlp choking person,first_aid_query
tent camp location neeedd,shelter_request
cannot find my son after thequake,family_member_missing
i need elp,sos_help_request
stuck nuder a collapsed wall,trapped_debris_report
how to register a found amily member,family_reunification_status
evacuation instructions please,evacuation_guidance_query
"thank you, tha helped",goodbye_thanks
safest way to leave the building,evacuation_guidance_query
we just felt an earthquake in Gorkha???,earthquake_occurring_report
hey,greeting
cannot find my son after the quake,family_member_missing
how many aftershocks re expected,aftershock_information_query
where is the designated safe zone in Bhaktapur,safe_location_query
critical patient needs ambulance now,medical_emergency_request
my brother has been olcated safely,family_reunification_status
my father fell and hurt back???,injury_report
can i go back inside my house now,building_damage_check
my sister has adeep wound,injury_report
idk???,fallback_unclear
how to treat  cut wound,first_aid_query
aftershock update please,aftershock_information_query
my grandmother has been located safely,family_reunification_status
need tents for the nnight,shelter_request
need drinking water asap,food_water_request
evacuation plan for Gorkha,evacuation_guidance_query
child helpline number urgent pls,emergency_contact_request
is it safe to sleep indoors after aftershocks pls,aftershock_information_query
my father is trapped under debris,trapped_debris_report
is aonther earthquake coming,aftershock_information_query
tell me what to do immediately,status_check_general
this is not related to earhtquake,fallback_unclear
"gas elak, please advise",gas_leak_report
help pls,sos_help_request
want to update status that my motheris safe,family_reunification_status
fire spreading fast in Pokhara,fire_incident_report
what should be in anemergency kit,preparedness_tips_query
want to upddate status that my grandmother is safe,family_reunification_status
my mother is stuck under the roof,trapped_debris_report
who madeyou,fallback_unclear
hi asap,greeting
electricity cut off in our area,power_outage_report
traped need rescue team,trapped_debris_report
is my apartment structurally safe now,building_damage_check
helloo sir,greeting
how ol dare you,fallback_unclear
bleedng from head,injury_report
bye help,goodbye_thanks
power lines dow nin Pokhara,power_outage_report
trapped in thecollapsed house,trapped_debris_report
broken ram need help,injury_report
head injury from falling debris,injury_report
want to update status that my grandmother is safe,family_reunification_status
cananyone help,sos_help_request
we just felt an earthquake in Gorkha,earthquake_occurring_report
how to prepare an earthquake go bag plz,preparedness_tips_query
ok thanks bye plz,goodbye_thanks
evacuation pla nfor Gorkha,evacuation_guidance_query
my sister is unconscious,medical_emergency_request
cannot reach Pokhararoad is closed,road_blockage_report
earthquake alert,earthquake_occurring_report
safeplace kaha xa near Gorkha,safe_location_query
building collapsed in Pokhara,building_collapse_report
tell me what to do immeidately,status_check_general
good orning,greeting
help now,sos_help_request
lost contact with my mother,family_member_missing
weneed help,sos_help_request
tent camp location needed,shelter_request
my grandfather is stuck under the roof???,trapped_debris_report
gas stove caused fire,fire_incident_report
