text,intent,predicted_intent,confidence,source,is_correct
hello,greeting,greeting,1.0,keyword,True
namaste,greeting,greeting,1.0,keyword,True
hey there,greeting,greeting,0.9863,ml,True
good evening,greeting,greeting,1.0,keyword,True
hi bhai,greeting,greeting,0.7999,ml,True
namaste k cha,greeting,greeting,0.9916,ml,True
hi there,greeting,greeting,0.989,ml,True
namaste qsafe,greeting,greeting,0.9657,ml,True
namaste i need information,greeting,greeting,0.728,ml,True
hi qsafe nepal,greeting,greeting,0.5537,ml,True
hello please respond,greeting,greeting,0.6861,ml,True
namaste tapaii,greeting,greeting,0.99,ml,True
hello assistance,greeting,greeting,0.9161,ml,True
namaste support,greeting,greeting,0.975,ml,True
namaste bhukampa,greeting,greeting,0.6971,ml,True
namaste tapaii k cha,greeting,greeting,0.9934,ml,True
namaste dhanyabad,greeting,greeting,0.6085,ml,True
hello available,greeting,greeting,0.5557,ml,True
namaste online,greeting,greeting,0.9823,ml,True
hi responding,greeting,greeting,0.9458,ml,True
hey standing by,greeting,greeting,0.8226,ml,True
hi available now,greeting,greeting,0.5232,ml,True
namaste yeta chan,greeting,greeting,0.9832,ml,True
hey can assist,greeting,greeting,0.8403,ml,True
namaste sahayata garna sakincha,greeting,greeting,0.692,ml,True
hi need info,greeting,greeting,0.624,ml,True
hello need information,greeting,greeting,0.6269,ml,True
hello have query,greeting,greeting,0.9117,ml,True
hi want to ask,greeting,greeting,0.7388,ml,True
hello want to know,greeting,status_check_general,0.98,keyword,False
hey curious,greeting,greeting,0.9569,ml,True
hi interested,greeting,greeting,0.9698,ml,True
hello concerned,greeting,greeting,0.9395,ml,True
hi scared,greeting,greeting,0.9521,ml,True
hello afraid,greeting,greeting,0.9615,ml,True
namaste dara,greeting,greeting,0.985,ml,True
hello critical,greeting,greeting,0.9321,ml,True
namaste kritik,greeting,greeting,0.9871,ml,True
hello right now,greeting,greeting,0.4741,ml,True
hello quickly,greeting,greeting,0.9674,ml,True
namaste jaldi,greeting,greeting,0.9853,ml,True
hi fast,greeting,greeting,0.8281,ml,True
dhanyabad,goodbye_thanks,goodbye_thanks,0.9651,ml,True
thanks a lot,goodbye_thanks,goodbye_thanks,1.0,keyword,True
dhanyabad dherai,goodbye_thanks,goodbye_thanks,0.9063,ml,True
thank you very much,goodbye_thanks,goodbye_thanks,0.9892,ml,True
dhanyabad sahayata ko lagi,goodbye_thanks,goodbye_thanks,0.7631,ml,True
thanks for everything,goodbye_thanks,goodbye_thanks,0.9673,ml,True
dhanyabad tapaimko sahayata ko lagi,goodbye_thanks,goodbye_thanks,0.6851,ml,True
dhanyawaad sahayata ko lagi,goodbye_thanks,shelter_request,0.2881,ml,False
dhanyabad jankari ko lagi,goodbye_thanks,goodbye_thanks,0.8764,ml,True
thank you for listening,goodbye_thanks,goodbye_thanks,0.9617,ml,True
bye,goodbye_thanks,goodbye_thanks,1.0,keyword,True
good bye,goodbye_thanks,goodbye_thanks,0.95,keyword_fuzzy,True
bye bye,goodbye_thanks,goodbye_thanks,0.9901,ml,True
bye qsafe,goodbye_thanks,goodbye_thanks,0.9156,ml,True
goodbye now,goodbye_thanks,goodbye_thanks,0.9318,ml,True
