<<<<<<< HEAD
text,intent
mero didi bhukampa pachi missing hunuhuncha,family_member_missing
cannot move stuck under conccrete malai,trapped_debris_report
help garnu na lpz,sos_help_request
namaste ma euta prashna sodhnac hahanchu,greeting
hami abhi evacuate garnu parxa ki,evacuation_guidance_query
just testing 123,fallback_unclear
malai nikalnu hos thuniyeko xu,trapped_debris_report
raati asna tent chai,shelter_request
sprain bhayeko khutta ko lagi k garne,first_aid_query
pani ko suply band bhayo pani chai,food_water_request
gharhallyo bhukampa jasto,earthquake_occurring_report
aago chittai failira xa school najik ma,fire_incident_report
mero aama unconsciousbhayo,medical_emergency_request
evacuation ko laagi khulla thau kaha cha,safe_location_query
ploice emergency number dinu hos,emergency_contact_request
building mafire xa hamro area najik,fire_incident_report
bhukampa ko jhatka abhi feelbhayo,earthquake_occurring_report
meroo family member safe bhetiyo,family_reunification_status
mero buwa lai badly injury bayo,injury_report
mero buwa pinned under debris malai help chai,trapped_debris_report
hello ji sanchai hunuhuncha,greeting
thanku sir ali help bhayo,goodbye_thanks
bihana dekhi mero buwa bata khabar xaina,family_member_missing
jhatka mahsus bayo 5 minute agadi,earthquake_occurring_report
re cross ko helpline number,emergency_contact_request
bhukampa report garna man xa Kathmandu a,earthquake_occurring_report
help pls ma dherai fright ma xu,sos_help_request
building safe cha kikasari thaha pauney,building_damage_check
arkobhukampa aaunxa ki,aftershock_information_query
"dhanyabbad, bye bye",goodbye_thanks
aaja raati arko jhatkaaaunxa ki,aftershock_information_query
bhukampagayo Pokhara ma,earthquake_occurring_report
hamro ghar unsaafe xa shelter chai,shelter_request
haa tma minor chot xa,injury_report
Kathmandu jana sakidaina road band cha,road_blockage_report
sos malai helpchai,sos_help_request
Kathmandu ma power line khaseko cha pls,power_outage_report
aago chittai failira xa Kathmandu ma,fire_incident_report
building bata evacuate garnesteps,evacuation_guidance_query
aftershockaaunxa ki,aftershock_information_query
bihana dekhi mero bhai bata khabar xaina,family_member_missing
mero didi debris muni thuniyo,trapped_debris_report
cylinder bata gaschuhi raxa,gas_leak_report
pregnant lady ali emergency care chai,medical_emergency_request
mero aama ghar aaunu bhako axina ahile samma,family_member_missing
mero saathi lai ambulance chai urgent plz,medical_emergency_request
mero aama ghar aaunu bhako xaina ahlie samma,family_member_missing
mero saathi laai badly injury bhayo,injury_report
medical emergency cha helpgarnu,medical_emergency_request
gana gauna aknu huncha,fallback_unclear
road block bhayo landslide le gaun najik help,road_blockage_report
mero buwa debris muni thuniyo,trapped_debris_report
tapai kati umer ko hunuhuncha help,fallback_unclear
k garne vanera guide garnu hos help,status_check_general
ghar collapse bhayo hami bhitra fasyou,trapped_debris_report
bhachiyeko haat ko first aid k ho,first_aid_query
bhukampa ko jhatka abhi feel hbayo,earthquake_occurring_report
afteshock aaunxa ki,aftershock_information_query
tent camp ko loctaion chai,shelter_request
bhukampa report garna man xa meero ghar najik ma,earthquake_occurring_report
thanks yesto helpful huncha,goodbye_thanks
"namaste bot, are u online",greeting
tapai kati umer ko hunuuhuncha,fallback_unclear
electrical fire lagyo plz,fire_incident_report
wall khaseko le mero bhai lai thichyo,trapped_debris_report
mero aama safe cha vanera status update garna mna xa,family_reunification_status
bihana dekhi mero buwa bbata khabar xaina,family_member_missing
hmai kaha shelter linna sakxam safely,safe_location_query
aftershock pachi ghar bhitra sutna safe cha ki help,aftershock_information_query
bhukapma aayo,earthquake_occurring_report
ahile  garne ma,status_check_general
ghar bata dhhuwa airaxa,fire_incident_report
wall khaseko le mero buwa lai thichyo,trapped_debris_report
bhukampa pachi emro aama lai bhettauna sakina,family_member_missing
Kathmandu ko lagi aftershock warning!!!,aftershock_information_query
mero ai help chaincha,sos_help_request
hostelma ambulance patau na,medical_emergency_request
gas stove le aago lgayo,fire_incident_report
Kathmandu kolagi evacuation plan,evacuation_guidance_query
hamro ghar unsafe xa shelterc hai,shelter_request
wall khaseko lemero aama lai thichyo,trapped_debris_report
mero bhai unconscious bhayo plz,medical_emergency_request
malai nikalnu hos thuniyeko xu urgent pls,trapped_debris_report
ghau bhayeko thau ma kasari treat garne,first_aid_query
malai pillar lethichyo cannot move,trapped_debris_report
